Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,145.69,-72.82,0.0,top
C10,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,150.5,-81.85,0.0,top
C11,22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,150.5,-84.86,0.0,top
C12,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,150.5,-87.87,0.0,top
C13,120pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,155.31,-72.82,0.0,top
C15,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,155.31,-75.83,0.0,top
C16,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,155.31,-78.84,0.0,top
C2,2.2u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,145.69,-75.83,0.0,top
C3,0.01u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,145.69,-78.84,0.0,top
C4,0.01u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,145.69,-81.85,0.0,top
C5,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,145.69,-84.86,0.0,top
C6,2.2u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,145.69,-87.87,0.0,top
C7,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,150.5,-72.82,0.0,top
C8,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,150.5,-75.83,0.0,top
C9,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,150.5,-78.84,0.0,top
D1,LED,LED_0201_0603Metric_Pad0.64x0.40mm_HandSolder,138.97,-99.26,0.0,top
D2,SS34,D_SMA,161.785,-86.77,0.0,top
D3,LED,LED_0201_0603Metric_Pad0.64x0.40mm_HandSolder,138.97,-101.01,0.0,top
J2,USB_C_Receptacle_PowerOnly_6P,USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal,131.32,-75.1,0.0,top
L1,2.2uH,L_1008_2520Metric_Pad1.43x2.20mm_HandSolder,139.98,-92.93,0.0,top
Q2,NMOS,Infineon_PG-HSOF-8-1,156.86,-95.225,0.0,top
R1,1R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,140.31,-72.96,0.0,top
R11,5R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,139.71,-103.36,0.0,top
R12,15K,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,150.84,-107.17,0.0,top
R14,3m,R_Shunt_Vishay_WSK2512_6332Metric_T2.21mm,179.98,-106.135,0.0,top
R15,10K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,140.31,-86.12,0.0,top
R16,10K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,140.31,-89.41,0.0,top
R2,1R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,140.31,-76.25,0.0,top
R3,0.36R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,140.31,-79.54,0.0,top
R4,0.39R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,140.31,-82.83,0.0,top
R5,1K,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,150.84,-101.92,0.0,top
R6,1K,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,150.84,-103.67,0.0,top
R7,75K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,139.51,-106.09,0.0,top
R8,1.6K,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,150.84,-105.42,0.0,top
SW1,SW_SPDT,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,170.51,-92.6,0.0,top
U1,HR8833,TSSOP-16_4.4x5mm_P0.65mm,162.465,-74.61,0.0,top
U10,INA219AIDCNR,SOT-23-8_Handsoldering,145.15,-105.52,0.0,top
U2,HR8833,TSSOP-16_4.4x5mm_P0.65mm,162.465,-81.2,0.0,top
U3,MIC2026-1YM,SOIC-8_3.9x4.9mm_P1.27mm,171.06,-74.67,0.0,top
U4,HT7533-1,SOT-89-3,146.36,-92.475,0.0,top
U5,TPS613222ADBV,SOT-23-5,169.41,-86.875,0.0,top
U6,HUSB237-AA001-DN06R,DFN-6-1EP_2x2mm_P0.65mm_EP1.01x1.7mm,139.695,-96.615,0.0,top
U8,TP4056-42-ESOP8,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,171.06,-81.25,0.0,top
U9,"HT7550-1,",SOT-89-3,146.36,-98.6,0.0,top
