Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,160.7275,-90.47,0.0,top
C11,22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,165.5375,-99.5,0.0,top
C12,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,165.5375,-102.51,0.0,top
C13,120pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,170.3475,-90.47,0.0,top
C14,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,170.3475,-93.48,0.0,top
C15,0.33u,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,148.62,-98.05,0.0,top
C16,0.1u,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,148.62,-99.8,0.0,top
C17,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,170.3475,-96.49,0.0,top
C2,2.2u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,160.7275,-93.48,0.0,top
C3,0.01u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,160.7275,-96.49,0.0,top
C4,0.01u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,160.7275,-99.5,0.0,top
C5,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,160.7275,-102.51,0.0,top
C6,2.2u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,165.5375,-90.47,0.0,top
C7,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,165.5375,-93.48,0.0,top
C8,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,165.5375,-96.49,0.0,top
D1,LED,LED_0201_0603Metric_Pad0.64x0.40mm_HandSolder,132.5725,-79.81,0.0,top
D2,SS34,D_SMA,114.5,-112.0,0.0,top
D3,LED,LED_0201_0603Metric_Pad0.64x0.40mm_HandSolder,132.5725,-81.56,0.0,top
H1,MountingHole,MountingHole_3.2mm_M3_DIN965_Pad,150.5,-72.5,0.0,top
H2,MountingHole,MountingHole_3.2mm_M3_DIN965_Pad,150.5,-81.5,0.0,top
H3,MountingHole,MountingHole_3.2mm_M3_DIN965_Pad,150.0,-91.0,0.0,top
J1,Conn_02x16_Odd_Even,PinHeader_2x16_P2.54mm_Vertical,151.23,-115.27,-90.0,top
J2,USB_C_Receptacle_PowerOnly_6P,USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal,135.5,-70.02,180.0,top
J3,Conn_01x02,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,115.5,-73.0,180.0,top
JP1,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,174.9275,-90.74,0.0,top
JP2,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,174.9275,-94.29,0.0,top
JP3,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,174.9275,-97.84,0.0,top
JP4,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,174.9275,-101.39,0.0,top
L1,2.2uH,L_1008_2520Metric_Pad1.43x2.20mm_HandSolder,114.3375,-95.5,0.0,top
Q2,NMOS,SOT-23-3,128.3625,-78.825,0.0,top
R1,1R,R1206,169.479,-69.5685,0.0,top
R11,5R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,114.0,-101.5,0.0,top
R12,5.5K,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,148.62,-106.8,0.0,top
R15,10K,R1206,169.479,-82.8105,0.0,top
R16,10K,R1206,169.479,-86.121,0.0,top
R2,1R,R1206,169.479,-72.879,0.0,top
R3,0.39R,R1206,169.479,-76.1895,0.0,top
R4,0.39R,R1206,169.479,-79.5,0.0,top
R5,1K,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,148.62,-101.55,0.0,top
R6,1K,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,148.62,-103.3,0.0,top
R7,75K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,133.1125,-77.68,0.0,top
R8,1.8K,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,148.62,-105.05,0.0,top
R9,3m,R2512,139.9373,-109.0077,0.0,top
SW1,SW_SPDT,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,178.9,-67.5,180.0,top
TP1,TestPoint,TestPoint_THTPad_D2.0mm_Drill1.0mm,160.5168,-69.9382,0.0,top
TP10,TestPoint,TestPoint_THTPad_D2.0mm_Drill1.0mm,164.5668,-82.0882,0.0,top
TP12,TestPoint,TestPoint_THTPad_D2.0mm_Drill1.0mm,164.5668,-86.1382,0.0,top
TP2,TestPoint,TestPoint_THTPad_D2.0mm_Drill1.0mm,160.5168,-73.9882,0.0,top
TP3,TestPoint,TestPoint_THTPad_D2.0mm_Drill1.0mm,160.5168,-78.0382,0.0,top
TP4,TestPoint,TestPoint_THTPad_D2.0mm_Drill1.0mm,160.5168,-82.0882,0.0,top
TP6,TestPoint,TestPoint_THTPad_D2.0mm_Drill1.0mm,160.5168,-86.1382,0.0,top
TP7,TestPoint,TestPoint_THTPad_D2.0mm_Drill1.0mm,164.5668,-69.9382,0.0,top
TP8,TestPoint,TestPoint_THTPad_D2.0mm_Drill1.0mm,164.5668,-73.9882,0.0,top
TP9,TestPoint,TestPoint_THTPad_D2.0mm_Drill1.0mm,164.5668,-78.0382,0.0,top
U1,HR8833,TSSOP-16_4.4x5mm_P0.65mm,123.3625,-92.125,0.0,top
U10,INA219AIDCNR,SOT-23-8_Handsoldering,114.65,-89.48,0.0,top
U11,AP2171WG-7,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL,169.9823,-106.3675,0.0,top
U2,HR8833,TSSOP-16_4.4x5mm_P0.65mm,123.8625,-99.125,0.0,top
U4,AP2112K-3.3,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL,160.8498,-106.3675,0.0,top
U5,TPS613222ADBVR,SOT-23-5,128.3625,-83.45,0.0,top
U6,HUSB237-AA001-DN06R,DFN-6-1EP_2x2mm_P0.65mm_EP1.01x1.7mm,114.0275,-106.15,0.0,top
U7,AP2171WG-7,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL,165.416,-106.3675,0.0,top
U8,TP4056-42-ESOP8,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,123.8,-106.2,0.0,top
U9,CJ78L05,SOT-89-3,115.15,-81.5,0.0,top
